id,customer_id,order_date,total_amount
1,83,2025-11-17 01:28:21.663907,795
2,84,2025-09-22 18:11:17.183190,876
3,4,2026-01-27 01:50:58.774598,184
4,43,2026-01-17 21:58:40.766155,57
5,12,2025-03-18 06:32:57.118158,555
6,94,2025-09-25 20:11:37.709915,887
7,58,2026-01-04 12:55:42.799765,394
8,8,2025-10-29 01:37:54.306994,825
9,35,2026-02-13 08:28:42.862508,54
10,20,2025-07-25 10:23:33.907487,97
11,67,2025-10-06 09:42:05.740615,667
12,12,2026-02-03 08:51:24.094892,1000
13,96,2025-06-30 04:55:57.519477,783
14,24,2025-04-23 08:25:33.168426,92
15,36,2025-11-21 13:26:30.871318,985
16,63,2025-05-17 19:07:47.158613,6
17,62,2025-12-11 11:58:18.380057,669
18,62,2025-12-22 05:04:17.834590,313
19,97,2025-06-27 15:28:06.651952,902
20,21,2026-03-11 08:18:14.007743,224
21,32,2025-12-10 09:12:27.574745,958
22,78,2025-03-31 12:58:30.311235,315
23,18,2025-08-11 08:45:53.170958,139
24,54,2025-12-14 11:06:20.183980,388
25,70,2025-05-19 16:16:38.352820,129
26,34,2026-02-14 10:59:39.357253,381
27,80,2025-04-24 10:08:04.784032,491
28,94,2025-05-30 04:29:08.867471,371
29,99,2025-10-14 17:12:02.925699,486
30,12,2025-12-19 00:17:15.739698,63
31,18,2025-03-28 15:42:40.826354,597
32,41,2026-02-13 06:49:46.537328,781
33,52,2025-10-24 13:01:15.356789,674
34,16,2025-09-18 01:47:25.776040,941
35,45,2025-10-24 20:46:32.431770,503
36,8,2025-08-07 14:41:58.878085,454
37,19,2026-02-17 04:55:53.240919,294
38,54,2025-11-20 21:45:30.609719,27
39,80,2025-05-31 11:55:07.906617,919
40,21,2026-03-06 06:26:21.243072,474
41,80,2025-04-11 11:00:47.974993,88
42,66,2025-08-18 12:01:11.915682,191
43,47,2026-01-15 06:13:11.427340,409
44,71,2025-09-12 12:55:28.143420,881
45,65,2026-02-16 08:21:30.734583,127
46,10,2026-03-08 08:29:44.558095,459
47,44,2025-04-20 14:21:24.713370,807
48,38,2026-01-23 00:37:10.000810,554
49,49,2025-12-10 15:58:05.250151,737
50,23,2025-09-11 13:55:44.662667,436
51,7305,2025-07-25 00:00:00,388
52,572,2025-01-07 00:00:00,683
53,415,2025-09-05 00:00:00,240
54,1194,2025-01-15 00:00:00,585
55,2787,2025-09-21 00:00:00,255
56,8447,2025-03-11 00:00:00,123
57,2764,2025-07-31 00:00:00,576
58,4088,2026-01-28 00:00:00,685
59,8996,2025-11-09 00:00:00,688
60,6748,2026-02-07 00:00:00,1005
61,1235,2026-01-10 00:00:00,690
62,9388,2025-01-28 00:00:00,196
63,271,2025-06-22 00:00:00,405
64,4398,2025-02-16 00:00:00,584
65,9627,2025-12-02 00:00:00,252
66,518,2025-06-03 00:00:00,338
67,6908,2025-03-05 00:00:00,1031
68,6955,2025-01-12 00:00:00,123
69,4128,2025-11-28 00:00:00,142
70,9467,2025-10-12 00:00:00,904
71,361,2025-11-26 00:00:00,108
72,5845,2025-05-29 00:00:00,283
73,1061,2025-10-13 00:00:00,450
74,3031,2025-12-07 00:00:00,951
75,5849,2026-03-26 00:00:00,230
76,694,2025-12-31 00:00:00,115
77,2925,2026-01-23 00:00:00,155
78,4493,2025-09-25 00:00:00,146
79,2752,2025-01-29 00:00:00,902
80,1066,2025-03-13 00:00:00,351
81,6360,2025-03-28 00:00:00,662
82,1386,2025-06-14 00:00:00,538
83,3903,2025-01-12 00:00:00,530
84,430,2025-12-22 00:00:00,804
85,6309,2025-05-13 00:00:00,416
86,2118,2025-07-29 00:00:00,645
87,3090,2026-01-18 00:00:00,265
88,609,2026-03-10 00:00:00,580
89,7313,2026-02-11 00:00:00,277
90,8175,2026-03-09 00:00:00,424
91,6253,2026-02-26 00:00:00,192
92,1349,2025-09-03 00:00:00,471
93,4511,2025-02-19 00:00:00,178
94,4759,2025-02-16 00:00:00,114
95,4788,2026-03-31 00:00:00,904
96,3622,2025-04-23 00:00:00,472
97,1895,2025-12-05 00:00:00,940
98,1133,2025-02-07 00:00:00,952
99,5682,2026-02-18 00:00:00,311
100,3896,2025-07-07 00:00:00,304
101,1642,2025-05-30 00:00:00,142
102,4965,2025-05-23 00:00:00,129
103,5797,2025-09-13 00:00:00,320
104,6910,2025-05-12 00:00:00,806
105,745,2026-03-24 00:00:00,266
106,651,2025-10-31 00:00:00,740
107,4098,2025-04-04 00:00:00,354
108,1426,2025-01-19 00:00:00,609
109,5249,2025-03-04 00:00:00,408
110,9167,2025-07-26 00:00:00,493
111,6030,2025-05-29 00:00:00,928
112,7063,2025-10-25 00:00:00,905
113,5511,2025-04-13 00:00:00,644
114,1773,2025-11-06 00:00:00,542
115,9955,2025-10-05 00:00:00,248
116,3360,2025-12-20 00:00:00,925
117,5097,2025-01-22 00:00:00,258
118,5957,2025-11-13 00:00:00,966
119,7122,2025-01-07 00:00:00,779
120,8476,2025-12-18 00:00:00,859
121,3414,2025-09-29 00:00:00,254
122,2041,2026-01-01 00:00:00,309
123,3875,2025-11-08 00:00:00,668
124,5694,2025-11-09 00:00:00,383
125,2199,2025-10-10 00:00:00,632
126,6212,2025-06-27 00:00:00,207
127,9727,2025-08-28 00:00:00,735
128,3645,2026-03-17 00:00:00,353
129,7484,2025-12-13 00:00:00,517
130,7121,2026-01-10 00:00:00,203
131,791,2025-03-05 00:00:00,397
132,2319,2026-02-05 00:00:00,945
133,2855,2025-07-12 00:00:00,397
134,2618,2025-09-11 00:00:00,1078
135,1135,2025-09-01 00:00:00,940
136,8798,2025-09-07 00:00:00,270
137,1852,2025-05-02 00:00:00,281
138,2815,2025-05-11 00:00:00,829
139,7401,2025-10-24 00:00:00,1091
140,7103,2026-01-06 00:00:00,508
141,3449,2025-12-16 00:00:00,283
142,675,2025-10-15 00:00:00,570
143,33,2025-07-14 00:00:00,287
144,6073,2025-10-03 00:00:00,1074
145,8543,2025-01-06 00:00:00,1040
146,2721,2026-03-26 00:00:00,364
147,6070,2025-02-08 00:00:00,1085
148,1576,2025-03-14 00:00:00,788
149,9206,2025-01-21 00:00:00,555
150,3462,2025-05-05 00:00:00,999
151,6927,2025-01-01 00:00:00,1092
152,8818,2025-09-16 00:00:00,690
153,1800,2025-08-06 00:00:00,746
154,2362,2025-07-22 00:00:00,669
155,89,2026-01-08 00:00:00,233
156,7401,2026-01-17 00:00:00,1089
157,5531,2026-02-13 00:00:00,229
158,9723,2026-02-17 00:00:00,897
159,9824,2025-03-21 00:00:00,958
160,2225,2025-06-28 00:00:00,847
161,721,2025-10-13 00:00:00,659
162,3697,2025-09-01 00:00:00,889
163,6729,2025-09-22 00:00:00,181
164,9838,2025-08-05 00:00:00,314
165,7827,2025-08-06 00:00:00,522
166,8724,2025-12-08 00:00:00,833
167,5444,2026-03-01 00:00:00,929
168,5524,2025-02-27 00:00:00,717
169,6409,2025-03-17 00:00:00,1022
170,9375,2025-10-06 00:00:00,947
171,6393,2025-02-22 00:00:00,990
172,9278,2025-10-16 00:00:00,613
173,1221,2025-06-21 00:00:00,1046
174,2436,2025-08-05 00:00:00,388
175,9430,2025-11-25 00:00:00,217
176,9590,2025-10-08 00:00:00,783
177,1731,2025-02-17 00:00:00,147
178,4770,2025-04-24 00:00:00,877
179,1785,2026-01-17 00:00:00,830
180,9257,2025-01-25 00:00:00,1001
181,7026,2025-03-19 00:00:00,183
182,6126,2025-06-16 00:00:00,159
183,6520,2025-10-21 00:00:00,377
184,8532,2025-05-15 00:00:00,263
185,7497,2025-09-25 00:00:00,727
186,8559,2025-04-16 00:00:00,420
187,8230,2025-09-11 00:00:00,264
188,3033,2025-07-24 00:00:00,778
189,9261,2025-09-17 00:00:00,1062
190,2820,2025-01-30 00:00:00,906
191,5763,2025-11-23 00:00:00,479
192,6449,2025-08-07 00:00:00,821
193,9653,2025-09-13 00:00:00,472
194,7047,2025-04-07 00:00:00,165
195,1422,2026-03-14 00:00:00,497
196,486,2025-10-15 00:00:00,655
197,3600,2026-03-31 00:00:00,547
198,8499,2025-03-06 00:00:00,729
199,9570,2025-09-08 00:00:00,127
200,8949,2025-05-18 00:00:00,302
201,5237,2026-03-16 00:00:00,754
202,2265,2025-12-06 00:00:00,655
203,29,2025-03-15 00:00:00,508
204,7453,2026-01-29 00:00:00,517
205,9396,2025-07-07 00:00:00,582
206,2039,2025-12-18 00:00:00,611
207,5538,2025-09-01 00:00:00,301
208,6674,2025-06-01 00:00:00,971
209,2898,2025-11-04 00:00:00,237
210,3608,2025-06-07 00:00:00,255
211,2422,2026-03-13 00:00:00,468
212,8806,2025-07-07 00:00:00,190
213,1478,2025-09-28 00:00:00,415
214,6423,2025-11-13 00:00:00,258
215,8464,2025-02-09 00:00:00,623
